Team,Player,Time,Event,Info,Object
EM,,1 - 0 : 00,换人,,10#余国璞
EM,,1 - 0 : 00,换人,,39#陈寅
EM,,1 - 0 : 00,换人,,7#金晓伟
EM,,1 - 0 : 00,换人,,34#王伟
EM,,1 - 0 : 00,换人,,25#蒲知劲
PURDUE,,1 - 0 : 00,换人,,32#Tony
PURDUE,,1 - 0 : 00,换人,,11#Leo
PURDUE,,1 - 0 : 00,换人,,黑衣粉鞋哥
PURDUE,,1 - 0 : 00,换人,,1#Terrence
PURDUE,,1 - 0 : 00,换人,,0#Rio
EM,39#陈寅,1 - 0 : 14,3分球出手,不进,
EM,25#蒲知劲,1 - 0 : 16,篮板,前场,
EM,25#蒲知劲,1 - 0 : 16,2分球出手,进球,
PURDUE,黑衣粉鞋哥,1 - 0 : 36,2分球出手,不进,
EM,10#余国璞,1 - 0 : 36,篮板,后场,
EM,34#王伟,1 - 0 : 41,助攻,2分,25#蒲知劲
EM,10#余国璞,1 - 0 : 58,抢断,,1#Terrence
EM,10#余国璞,1 - 1 : 7,助攻,2分,25#蒲知劲
PURDUE,32#Tony,1 - 1 : 19,2分球出手,不进,
PURDUE,黑衣粉鞋哥,1 - 1 : 20,篮板,前场,
EM,25#蒲知劲,1 - 1 : 22,盖帽,2分,黑衣粉鞋哥
EM,7#金晓伟,1 - 1 : 22,篮板,前场,
EM,39#陈寅,1 - 1 : 31,助攻,2分,34#王伟
PURDUE,11#Leo,1 - 1 : 54,3分球出手,不进,
EM,25#蒲知劲,1 - 1 : 59,篮板,后场,
EM,7#金晓伟,1 - 2 : 7,2分球出手,不进,
PURDUE,11#Leo,1 - 2 : 9,篮板,后场,
PURDUE,32#Tony,1 - 2 : 15,2分球出手,不进,
EM,25#蒲知劲,1 - 2 : 15,篮板,后场,
PURDUE,1#Terrence,1 - 2 : 15,抢断,,25#蒲知劲
PURDUE,32#Tony,1 - 2 : 20,2分球出手,不进,
EM,25#蒲知劲,1 - 2 : 20,篮板,后场,
EM,7#金晓伟,1 - 2 : 43,助攻,3分,39#陈寅
PURDUE,1#Terrence,1 - 3 : 6,2分球出手,不进,
